ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
monStandRight,1,10,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FLIPX,FLIPY
graphics/Monster/monstand.png,0,0,157,133,47.5,46,1,0
graphics/Monster/monstand.png,157,0,157,133,47.5,46,1,0
graphics/Monster/monstand.png,314,0,157,133,47.5,46,1,0
graphics/Monster/monstand.png,471,0,157,133,47.5,46,1,0
graphics/Monster/monstand.png,628,0,157,133,47.5,46,1,0
graphics/Monster/monstand.png,785,0,157,133,47.5,46,1,0
graphics/Monster/monstand.png,942,0,157,133,47.5,46,1,0
graphics/Monster/monstand.png,1099,0,157,133,47.5,46,1,0
